order_id,order_date,ship_date,ship_mode,customer_name,segment,state,country,market,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit,shipping_cost,order_priority,year
CA-2014-107629,2014-12-15,2014-12-15,Same Day,Dave Brooks,Consumer,Illinois,United States,US,Central,TEC-AC-10004510,Technology,Accessories,Logitech Desktop MK120 Mouse and keyboard Combo,39,3,0.2,-4.908,3.35,High,2014
MX-2014-133382,2014-12-15,2014-12-20,Standard Class,Alyssa Tate,Home Office,Chiapas,Mexico,LATAM,North,OFF-FA-10003879,Office Supplies,Fasteners,"Stockwell Thumb Tacks, Assorted Sizes",21,3,0.0,1.86,3.46,High,2014
CA-2014-169859,2014-12-15,2014-12-19,Standard Class,Mike Pelletier,Home Office,California,United States,US,West,FUR-FU-10004963,Furniture,Furnishings,"Eldon 400 Class Desk Accessories, Black Carbon",26,3,0.0,11.025,3.65,High,2014
RW-2014-3070,2014-12-15,2014-12-18,Second Class,Bruce Geld,Consumer,Kigali,Rwanda,Africa,Africa,OFF-XER-10000482,Office Supplies,Paper,"Xerox Note Cards, Multicolor",28,1,0.0,6.93,3.87,High,2014
ES-2014-5605089,2014-12-15,2014-12-19,Standard Class,Anthony Witt,Consumer,Hamburg,Germany,EU,Central,OFF-EN-10003977,Office Supplies,Envelopes,"Cameo Clasp Envelope, Recycled",25,3,0.0,1.98,3.88,High,2014
ES-2014-5605089,2014-12-15,2014-12-19,Standard Class,Anthony Witt,Consumer,Hamburg,Germany,EU,Central,OFF-BI-10000563,Office Supplies,Binders,"Acco Hole Reinforcements, Durable",41,5,0.0,19.05,3.9,High,2014
ES-2014-5605089,2014-12-15,2014-12-19,Standard Class,Anthony Witt,Consumer,Hamburg,Germany,EU,Central,OFF-PA-10004856,Office Supplies,Paper,"Xerox Memo Slips, Recycled",54,4,0.0,8.04,4.28,High,2014
ES-2014-5605089,2014-12-15,2014-12-19,Standard Class,Anthony Witt,Consumer,Hamburg,Germany,EU,Central,OFF-AR-10000799,Office Supplies,Art,"Sanford Highlighters, Easy-Erase",32,2,0.0,1.26,4.36,High,2014
ES-2014-1406762,2014-12-15,2014-12-19,Standard Class,Kelly Andreada,Consumer,Champagne-Ardenne,France,EU,Central,FUR-FU-10004421,Furniture,Furnishings,"Tenex Clock, Durable",71,3,0.5,-8.55,5.2,High,2014
CA-2014-169859,2014-12-15,2014-12-19,Standard Class,Mike Pelletier,Home Office,California,United States,US,West,OFF-BI-10000174,Office Supplies,Binders,"Wilson Jones Clip & Carry Folder Binder Tool for Ring Binders, Clear",65,14,0.2,22.736,5.32,High,2014
MX-2014-111647,2014-12-15,2014-12-19,Second Class,Mitch Gastineau,Corporate,México,Mexico,LATAM,North,OFF-BI-10001507,Office Supplies,Binders,"Ibico Binder, Durable",34,3,0.0,9.48,5.98,High,2014
CA-2014-147333,2014-12-15,2014-12-21,Standard Class,Kelly Lampkin,Corporate,Arkansas,United States,US,South,TEC-AC-10003038,Technology,Accessories,Kingston Digital DataTraveler 16GB USB 2.0,45,5,0.0,8.5025,7.06,Low,2014
CA-2014-169859,2014-12-15,2014-12-19,Standard Class,Mike Pelletier,Home Office,California,United States,US,West,OFF-EN-10000461,Office Supplies,Envelopes,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",44,5,0.0,20.539,7.57,High,2014
CA-2014-107629,2014-12-15,2014-12-15,Same Day,Dave Brooks,Consumer,Illinois,United States,US,Central,FUR-FU-10004091,Furniture,Furnishings,"Howard Miller 13"" Diameter Goldtone Round Wall Clock",56,3,0.6,-26.7558,9.5,High,2014
ES-2014-5605089,2014-12-15,2014-12-19,Standard Class,Anthony Witt,Consumer,Hamburg,Germany,EU,Central,OFF-SU-10003072,Office Supplies,Supplies,"Elite Trimmer, Serrated",77,2,0.0,36.06,9.04,High,2014
ES-2014-2286229,2014-12-15,2014-12-21,Standard Class,Bruce Geld,Consumer,Languedoc-Roussillon,France,EU,Central,FUR-FU-10000567,Furniture,Furnishings,"Rubbermaid Light Bulb, Erganomic",122,7,0.0,58.59,9.12,Medium,2014
ES-2014-4252380,2014-12-15,2014-12-19,Standard Class,Eric Murdock,Consumer,Lower Saxony,Germany,EU,Central,OFF-AR-10004825,Office Supplies,Art,"BIC Canvas, Fluorescent",55,2,0.5,-16.5,3.24,Medium,2014
MX-2014-138184,2014-12-15,2014-12-22,Standard Class,Jane Waco,Corporate,Santa Ana,El Salvador,LATAM,Central,TEC-AC-10004951,Technology,Accessories,"Memorex Mouse, Erganomic",52,3,0.0,18.66,4.8,Medium,2014
ID-2014-51754,2014-12-15,2014-12-19,Standard Class,Mitch Willingham,Corporate,National Capital,Philippines,APAC,Southeast Asia,OFF-SU-10004077,Office Supplies,Supplies,"Acme Letter Opener, Easy Grip",53,3,0.45,-3.8205,2.98,Medium,2014
NI-2014-1910,2014-12-15,2014-12-19,Standard Class,James Galang,Consumer,Oyo,Nigeria,Africa,Africa,OFF-AME-10001641,Office Supplies,Envelopes,"Ames Interoffice Envelope, Recycled",13,1,0.7,-11.004,0.83,Medium,2014
IR-2014-6370,2014-12-15,2014-12-18,First Class,Sean Christensen,Consumer,Lorestan,Iran,EMEA,EMEA,OFF-STA-10000298,Office Supplies,Art,"Stanley Canvas, Blue",49,1,0.0,7.89,2.92,High,2014
RW-2014-3070,2014-12-15,2014-12-18,Second Class,Bruce Geld,Consumer,Kigali,Rwanda,Africa,Africa,OFF-ENE-10002922,Office Supplies,Paper,"Enermax Note Cards, Premium",57,2,0.0,5.7,9.84,High,2014
CA-2014-122595,2014-12-15,2014-12-21,Standard Class,Gary Mitchum,Home Office,Illinois,United States,US,Central,FUR-FU-10002963,Furniture,Furnishings,"Master Caster Door Stop, Gray",2,1,0.6,-1.3208,0.1,Medium,2014
ES-2014-2286229,2014-12-15,2014-12-21,Standard Class,Bruce Geld,Consumer,Languedoc-Roussillon,France,EU,Central,OFF-AR-10002805,Office Supplies,Art,"Boston Sketch Pad, Blue",49,1,0.0,20.88,0.81,Medium,2014
ES-2014-4252380,2014-12-15,2014-12-19,Standard Class,Eric Murdock,Consumer,Lower Saxony,Germany,EU,Central,OFF-FA-10002248,Office Supplies,Fasteners,"Stockwell Staples, Assorted Sizes",12,3,0.5,-1.755,0.97,Medium,2014
IZ-2014-6520,2014-12-15,2014-12-21,Standard Class,Logan Currie,Consumer,Al Basrah,Iraq,EMEA,EMEA,OFF-AVE-10000432,Office Supplies,Binders,"Avery Index Tab, Clear",23,4,0.0,6.24,1.27,Medium,2014
US-2014-129546,2014-12-15,2014-12-19,Standard Class,Susan Gilcrest,Corporate,Buenos Aires,Argentina,LATAM,South,OFF-ST-10000880,Office Supplies,Storage,"Rogers Box, Blue",19,2,0.4,-0.024,1.3,High,2014
CA-2014-122595,2014-12-15,2014-12-21,Standard Class,Gary Mitchum,Home Office,Illinois,United States,US,Central,TEC-PH-10003095,Technology,Phones,Samsung HM1900 Bluetooth Headset,53,3,0.2,19.755,1.36,Medium,2014
RW-2014-3070,2014-12-15,2014-12-18,Second Class,Bruce Geld,Consumer,Kigali,Rwanda,Africa,Africa,OFF-IBI-10000080,Office Supplies,Binders,"Ibico Binder, Recycled",16,1,0.0,1.26,1.52,High,2014
CA-2014-151799,2014-12-15,2014-12-19,Standard Class,Ben Ferrer,Home Office,Massachusetts,United States,US,East,OFF-SU-10001664,Office Supplies,Supplies,Acme Office Executive Series Stainless Steel Trimmers,26,3,0.0,6.6846,2.98,High,2014
NI-2014-1910,2014-12-15,2014-12-19,Standard Class,James Galang,Consumer,Oyo,Nigeria,Africa,Africa,FUR-DAN-10002967,Furniture,Bookcases,"Dania 3-Shelf Cabinet, Metal",42,1,0.7,-70.467,1.56,Medium,2014
ES-2014-2275791,2014-12-15,2014-12-19,Standard Class,Mark Van Huff,Consumer,Ile-de-France,France,EU,Central,OFF-FA-10004344,Office Supplies,Fasteners,"Advantus Thumb Tacks, Assorted Sizes",22,2,0.0,3.3,1.75,Medium,2014
IN-2014-66027,2014-12-15,2014-12-19,Standard Class,Susan Vittorini,Consumer,Jawa Timur,Indonesia,APAC,Southeast Asia,OFF-AR-10002400,Office Supplies,Art,"Boston Highlighters, Water Color",32,2,0.27,-8.427,1.79,Medium,2014
IT-2014-1792968,2014-12-15,2014-12-17,First Class,Roger Barcio,Home Office,Dublin,Ireland,EU,North,OFF-PA-10001844,Office Supplies,Paper,"Eaton Message Books, 8.5 x 11",37,3,0.5,-4.5,1.8,Medium,2014
TU-2014-3530,2014-12-15,2014-12-19,Standard Class,Alan Barnes,Consumer,Adana,Turkey,EMEA,EMEA,OFF-KRA-10002789,Office Supplies,Envelopes,"Kraft Peel and Seal, with clear poly window",19,2,0.6,-15.876,1.97,Medium,2014
NI-2014-1910,2014-12-15,2014-12-19,Standard Class,James Galang,Consumer,Oyo,Nigeria,Africa,Africa,OFF-STI-10002040,Office Supplies,Supplies,"Stiletto Ruler, Easy Grip",30,6,0.7,-28.8,2.01,Medium,2014
CA-2014-151799,2014-12-15,2014-12-19,Standard Class,Ben Ferrer,Home Office,Massachusetts,United States,US,East,OFF-FA-10001332,Office Supplies,Fasteners,"Acco Banker's Clasps, 5 3/4""-Long",17,6,0.0,8.1216,2.05,High,2014
